,DateTime,total_price,profit
0,2019-01-05 13:08:00,522.8299999999999,250.96
1,2019-03-08 10:29:00,76.39999999999999,36.67
2,2019-03-03 13:23:00,324.31,107.02
3,2019-01-27 20:33:00,465.76,153.7
4,2019-02-08 10:37:00,604.1700000000001,290.0
5,2019-03-25 18:30:00,597.73,286.91
6,2019-02-25 14:36:00,413.04,136.3
7,2019-02-24 11:38:00,735.6,132.41
8,2019-01-10 17:15:00,72.52,23.93
9,2019-02-20 13:27:00,164.52,54.29
10,2019-02-06 18:07:00,57.92,27.8
11,2019-03-09 17:03:00,102.04,48.98
12,2019-02-12 10:25:00,234.75,112.68
13,2019-02-07 16:48:00,431.9,207.31
14,2019-03-29 19:21:00,713.8,342.62
15,2019-01-15 16:19:00,562.3199999999999,269.91
16,2019-03-11 11:03:00,482.51000000000005,231.6
17,2019-01-01 10:39:00,435.65999999999997,143.77
18,2019-01-21 18:00:00,164.01,93.49
19,2019-03-11 15:30:00,80.6,38.69
20,2019-02-25 11:24:00,430.20000000000005,206.5
21,2019-03-05 10:40:00,263.94,87.1
22,2019-03-15 12:20:00,66.4,21.91
23,2019-02-17 11:15:00,172.8,57.02
24,2019-03-02 17:36:00,265.89,127.63
25,2019-03-22 19:20:00,420.72,151.46
26,2019-02-08 15:31:00,33.52,11.06
27,2019-03-10 12:17:00,175.34,84.16
28,2019-01-25 19:48:00,441.8,212.06
29,2019-03-15 15:36:00,224.01,73.92
30,2019-02-25 19:39:00,470.65,155.31
31,2019-01-28 12:43:00,702.6299999999999,126.47
32,2019-01-10 14:49:00,670.24,321.72
33,2019-03-15 10:12:00,193.16,34.77
34,2019-02-06 10:42:00,397.68,190.89
35,2019-01-07 12:28:00,68.12,22.48
36,2019-03-10 19:15:00,313.09999999999997,150.29
37,2019-01-15 17:17:00,547.9200000000001,180.81
38,2019-03-23 13:24:00,439.36,144.99
39,2019-03-03 13:01:00,240.96,115.66
40,2019-01-17 18:45:00,86.72,41.63
41,2019-02-02 10:11:00,112.22,37.03
42,2019-02-08 13:03:00,414.72,136.86
43,2019-03-04 20:39:00,789.6,379.01
44,2019-03-16 19:47:00,30.74,14.76
45,2019-03-09 18:00:00,375.84,124.03
46,2019-02-27 17:24:00,510.21,168.37
47,2019-02-06 15:47:00,180.09,86.44
48,2019-02-10 12:45:00,113.58,37.48
49,2019-03-19 17:08:00,826.3,396.62
50,2019-02-03 10:19:00,639.8000000000001,211.13
51,2019-02-10 15:10:00,222.95000000000002,73.57
52,2019-03-22 14:42:00,71.48,34.31
53,2019-01-25 15:46:00,15.43,7.41
54,2019-03-07 11:49:00,32.32,15.51
55,2019-02-28 19:01:00,687.84,330.16
56,2019-03-27 11:26:00,88.68,31.92
57,2019-02-07 11:28:00,716.8,236.54
58,2019-01-20 15:55:00,723.5,238.76
59,2019-03-12 20:36:00,183.66,88.16
60,2019-02-15 17:47:00,74.22,35.63
61,2019-02-24 10:55:00,334.38,110.35
62,2019-02-03 13:40:00,495.63,237.9
63,2019-03-06 12:27:00,158.1,52.17
64,2019-02-14 14:35:00,302.96,99.98
65,2019-03-13 16:40:00,158.7,76.18
66,2019-02-10 15:43:00,66.94,32.13
67,2019-01-07 15:01:00,585.66,281.12
68,2019-01-24 10:04:00,787.6999999999999,259.94
69,2019-02-02 18:50:00,18.33,8.8
70,2019-01-06 12:46:00,894.8000000000001,429.5
71,2019-02-11 16:19:00,621.1999999999999,298.18
72,2019-03-05 18:17:00,145.56,26.2
73,2019-03-09 18:21:00,455.46,150.3
