,DateTime,profit
0,2019-01-05 13:08:00,250.96
1,2019-03-08 10:29:00,36.67
2,2019-03-03 13:23:00,107.02
3,2019-01-27 20:33:00,153.7
4,2019-02-08 10:37:00,290.0
5,2019-03-25 18:30:00,286.91
6,2019-02-25 14:36:00,136.3
7,2019-02-24 11:38:00,132.41
8,2019-01-10 17:15:00,23.93
9,2019-02-20 13:27:00,54.29
10,2019-02-06 18:07:00,27.8
11,2019-03-09 17:03:00,48.98
12,2019-02-12 10:25:00,112.68
13,2019-02-07 16:48:00,207.31
14,2019-03-29 19:21:00,342.62
15,2019-01-15 16:19:00,269.91
16,2019-03-11 11:03:00,231.6
17,2019-01-01 10:39:00,143.77
18,2019-01-21 18:00:00,93.49
19,2019-03-11 15:30:00,38.69
20,2019-02-25 11:24:00,206.5
21,2019-03-05 10:40:00,87.1
22,2019-03-15 12:20:00,21.91
23,2019-02-17 11:15:00,57.02
24,2019-03-02 17:36:00,127.63
25,2019-03-22 19:20:00,151.46
26,2019-02-08 15:31:00,11.06
27,2019-03-10 12:17:00,84.16
28,2019-01-25 19:48:00,212.06
29,2019-03-15 15:36:00,73.92
30,2019-02-25 19:39:00,155.31
31,2019-01-28 12:43:00,126.47
32,2019-01-10 14:49:00,321.72
33,2019-03-15 10:12:00,34.77
34,2019-02-06 10:42:00,190.89
35,2019-01-07 12:28:00,22.48
36,2019-03-10 19:15:00,150.29
37,2019-01-15 17:17:00,180.81
38,2019-03-23 13:24:00,144.99
39,2019-03-03 13:01:00,115.66
40,2019-01-17 18:45:00,41.63
41,2019-02-02 10:11:00,37.03
42,2019-02-08 13:03:00,136.86
43,2019-03-04 20:39:00,379.01
44,2019-03-16 19:47:00,14.76
45,2019-03-09 18:00:00,124.03
46,2019-02-27 17:24:00,168.37
47,2019-02-06 15:47:00,86.44
48,2019-02-10 12:45:00,37.48
49,2019-03-19 17:08:00,396.62
50,2019-02-03 10:19:00,211.13
51,2019-02-10 15:10:00,73.57
52,2019-03-22 14:42:00,34.31
53,2019-01-25 15:46:00,7.41
54,2019-03-07 11:49:00,15.51
55,2019-02-28 19:01:00,330.16
56,2019-03-27 11:26:00,31.92
57,2019-02-07 11:28:00,236.54
58,2019-01-20 15:55:00,238.76
59,2019-03-12 20:36:00,88.16
60,2019-02-15 17:47:00,35.63
61,2019-02-24 10:55:00,110.35
62,2019-02-03 13:40:00,237.9
63,2019-03-06 12:27:00,52.17
64,2019-02-14 14:35:00,99.98
65,2019-03-13 16:40:00,76.18
66,2019-02-10 15:43:00,32.13
67,2019-01-07 15:01:00,281.12
68,2019-01-24 10:04:00,259.94
69,2019-02-02 18:50:00,8.8
70,2019-01-06 12:46:00,429.5
71,2019-02-11 16:19:00,298.18
72,2019-03-05 18:17:00,26.2
73,2019-03-09 18:21:00,150.3
74,2019-01-22 10:55:00,221.77
75,2019-01-13 17:04:00,199.92
76,2019-01-09 14:20:00,145.65
77,2019-01-12 15:48:00,59.43
78,2019-03-05 16:24:00,258.42
79,2019-01-22 18:56:00,33.63
80,2019-01-21 14:42:00,196.4
81,2019-01-26 19:56:00,95.71
82,2019-01-23 18:37:00,50.82
83,2019-02-23 18:45:00,154.29
84,2019-03-09 10:17:00,44.02
85,2019-03-05 14:31:00,279.08
86,2019-03-25 10:23:00,183.65
87,2019-03-27 20:35:00,165.92
88,2019-01-02 16:57:00,20.39
89,2019-02-27 17:55:00,152.44
90,2019-01-23 10:25:00,62.54
91,2019-01-26 19:54:00,215.33
92,2019-01-10 16:42:00,73.85
93,2019-03-12 12:09:00,191.15
94,2019-02-06 20:05:00,29.62
95,2019-03-08 20:38:00,46.64
96,2019-03-29 10:25:00,421.78
97,2019-02-09 13:11:00,13.45
98,2019-03-23 10:16:00,75.96
99,2019-03-05 18:14:00,238.18
100,2019-03-26 19:20:00,16.07
101,2019-03-01 13:22:00,233.29
102,2019-02-01 11:27:00,99.66
103,2019-03-28 16:44:00,167.79
104,2019-03-19 18:19:00,70.11
105,2019-01-12 14:50:00,292.61
106,2019-01-05 20:54:00,78.85
107,2019-03-22 20:19:00,178.93
108,2019-03-24 10:43:00,146.79
109,2019-03-03 14:30:00,270.5
110,2019-02-05 11:32:00,15.83
111,2019-02-05 10:41:00,141.42
112,2019-02-15 12:44:00,244.74
113,2019-01-19 20:07:00,250.86
114,2019-02-01 20:31:00,261.76
115,2019-03-02 13:01:00,26.75
116,2019-03-05 12:29:00,52.66
117,2019-01-16 15:26:00,16.95
118,2019-02-02 20:48:00,52.61
119,2019-01-20 20:38:00,35.27
120,2019-02-14 17:03:00,382.31
121,2019-01-12 12:02:00,131.95
122,2019-03-09 17:26:00,296.88
123,2019-03-13 19:52:00,168.72
124,2019-03-09 14:57:00,149.08
125,2019-03-10 18:44:00,314.8
126,2019-01-27 13:26:00,77.4
127,2019-01-08 16:17:00,137.07
128,2019-01-08 15:57:00,263.19
129,2019-02-08 11:15:00,390.01
130,2019-01-25 13:18:00,133.12
131,2019-03-06 20:34:00,182.42
132,2019-02-10 18:36:00,45.99
133,2019-02-17 14:40:00,188.89
134,2019-03-08 16:43:00,160.97
135,2019-02-18 19:39:00,48.72
136,2019-01-18 20:59:00,63.14
137,2019-02-18 15:39:00,68.15
138,2019-02-16 12:21:00,249.17
139,2019-03-16 19:25:00,278.4
140,2019-01-23 13:00:00,431.04
141,2019-01-25 13:48:00,434.4
142,2019-02-05 19:57:00,391.02
143,2019-02-22 10:36:00,5.47
144,2019-01-21 16:37:00,224.5
145,2019-03-08 17:11:00,133.23
146,2019-02-10 12:28:00,144.67
147,2019-03-19 12:46:00,55.56
148,2019-03-06 15:07:00,275.94
149,2019-03-27 13:48:00,85.69
150,2019-03-23 19:20:00,175.76
151,2019-03-11 16:07:00,79.83
152,2019-01-29 11:56:00,134.85
153,2019-02-07 18:23:00,32.63
154,2019-01-28 13:05:00,213.76
155,2019-02-20 15:55:00,152.28
156,2019-01-04 19:40:00,34.64
157,2019-03-07 13:58:00,120.67
158,2019-03-30 14:43:00,157.5
159,2019-03-27 19:18:00,184.91
160,2019-01-19 19:39:00,165.81
161,2019-02-25 16:21:00,30.57
162,2019-03-13 19:44:00,153.85
163,2019-01-30 19:42:00,50.42
164,2019-02-20 15:24:00,131.67
165,2019-02-25 14:12:00,112.38
166,2019-01-16 13:32:00,315.41
167,2019-02-08 16:20:00,475.1
168,2019-01-19 16:31:00,101.53
169,2019-02-01 15:10:00,160.59
170,2019-01-03 11:36:00,168.02
171,2019-01-26 12:45:00,192.12
172,2019-03-03 19:17:00,80.06
173,2019-01-19 17:34:00,152.32
174,2019-01-18 12:04:00,52.25
175,2019-03-21 16:21:00,100.5
176,2019-03-03 17:01:00,58.53
177,2019-02-13 10:50:00,52.0
178,2019-03-23 19:16:00,212.77
179,2019-01-28 16:47:00,85.93
180,2019-02-09 10:00:00,148.44
181,2019-01-23 11:51:00,147.72
182,2019-03-23 10:55:00,88.35
183,2019-01-25 15:00:00,131.75
184,2019-03-04 11:19:00,15.55
185,2019-03-05 19:46:00,17.9
186,2019-03-03 19:00:00,362.84
187,2019-02-08 10:53:00,89.22
188,2019-02-10 12:50:00,24.44
189,2019-01-28 20:50:00,92.15
190,2019-02-11 10:39:00,76.27
191,2019-01-15 13:41:00,48.52
192,2019-03-16 19:08:00,260.77
193,2019-01-26 20:23:00,49.06
194,2019-03-19 11:30:00,78.5
195,2019-01-13 19:30:00,24.52
196,2019-03-26 18:03:00,28.84
197,2019-03-23 10:13:00,9.1
198,2019-03-12 19:58:00,54.78
199,2019-02-17 19:57:00,171.34
200,2019-01-29 10:01:00,20.68
201,2019-03-15 11:57:00,110.38
202,2019-01-14 10:02:00,141.86
203,2019-02-06 14:51:00,124.32
204,2019-02-15 12:42:00,29.32
205,2019-01-03 12:02:00,68.4
206,2019-01-04 18:19:00,287.93
207,2019-03-18 17:38:00,94.15
208,2019-03-28 13:41:00,43.73
209,2019-03-02 19:42:00,430.83
210,2019-01-25 20:24:00,113.31
211,2019-01-16 18:08:00,276.98
212,2019-03-20 19:17:00,152.39
213,2019-01-04 13:24:00,45.96
214,2019-03-11 15:53:00,68.4
215,2019-03-22 15:05:00,6.03
216,2019-03-24 18:27:00,59.45
217,2019-02-21 16:55:00,93.69
218,2019-02-12 12:58:00,364.3
219,2019-03-10 18:59:00,82.57
220,2019-01-31 13:44:00,97.96
221,2019-03-06 13:46:00,143.4
222,2019-02-17 18:06:00,28.34
223,2019-02-21 12:38:00,6.02
224,2019-03-20 15:56:00,41.52
225,2019-01-11 14:29:00,57.53
